Año,Municipios,Semanas,Obs. esperadas,Obs. reales,Completitud (%)
2010,1040,52,54080,54080,100.0
2011,1040,52,54080,54080,100.0
2012,1040,52,54080,54080,100.0
2013,1040,52,54080,54080,100.0
2014,1040,52,54080,54080,100.0
2015,1040,53,55120,55120,100.0
2016,1040,52,54080,54080,100.0
2017,1040,52,54080,54080,100.0
2018,1040,52,54080,54080,100.0
2019,1040,52,54080,54080,100.0
2020,1040,53,55120,55120,100.0
2021,1040,52,54080,54080,100.0
2022,1040,52,54080,54080,100.0
2023,1040,52,54080,54080,100.0
2024,1040,52,54080,54080,100.0
