,casos_totales,log1p_casos,tasa_100k,temp_mean,prec_total,ndvi_mean,oni_anom,oni_total,Flujo_in,poblacion
casos_totales,1.0,0.5393711484599576,0.25231178619373,0.08682877384276362,-0.008077328498547793,-0.020974372153631675,0.037628719703164566,0.038435311722627624,0.46669880690897175,0.2869040109798626
log1p_casos,0.5393711484599576,1.0,0.5737473337510759,0.23533388838657382,0.0029014962910766206,0.013319555235207642,0.09101411021034031,0.09022177739488267,0.359269210128858,0.3261461496371864
tasa_100k,0.25231178619373,0.5737473337510759,1.0,0.15707264611854066,0.020655622009911723,0.0475763684211818,0.08505962099192049,0.09547271111411317,0.06672372154392894,0.009302693446725949
temp_mean,0.08682877384276362,0.23533388838657382,0.15707264611854066,1.0,0.0654674575597233,0.25577791406988354,0.06622084007636997,0.06237103087660179,-0.053804827237183474,-0.06941332325884625
prec_total,-0.008077328498547793,0.0029014962910766206,0.020655622009911723,0.0654674575597233,1.0,-0.023547709742475328,-0.10046116478212791,-0.03806912238072158,-0.024203521419765634,-0.0202787308280147
ndvi_mean,-0.020974372153631675,0.013319555235207642,0.0475763684211818,0.25577791406988354,-0.023547709742475328,1.0,0.01993408277524551,-0.019015810964939085,-0.06309360263460254,-0.09279858358309696
oni_anom,0.037628719703164566,0.09101411021034031,0.08505962099192049,0.06622084007636997,-0.10046116478212791,0.01993408277524551,1.0,0.9037609832191186,0.04072754947889711,4.2431666904883686e-17
oni_total,0.038435311722627624,0.09022177739488267,0.09547271111411317,0.06237103087660179,-0.03806912238072158,-0.019015810964939085,0.9037609832191186,1.0,0.04228950695819322,2.0747370315422187e-16
Flujo_in,0.46669880690897175,0.359269210128858,0.06672372154392894,-0.053804827237183474,-0.024203521419765634,-0.06309360263460254,0.04072754947889711,0.04228950695819322,1.0,0.7254114611632284
poblacion,0.2869040109798626,0.3261461496371864,0.009302693446725949,-0.06941332325884625,-0.0202787308280147,-0.09279858358309696,4.2431666904883686e-17,2.0747370315422187e-16,0.7254114611632284,1.0
